country_region_code,country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IN,India,Delhi,2020-02-15,1.0,2.0,8.0,6.0,4.0,0.0
IN,India,Delhi,2020-02-16,2.0,3.0,9.0,6.0,2.0,0.0
IN,India,Delhi,2020-02-17,0.0,2.0,12.0,2.0,1.0,0.0
IN,India,Delhi,2020-02-18,0.0,3.0,13.0,3.0,3.0,0.0
IN,India,Delhi,2020-02-19,-1.0,3.0,10.0,2.0,3.0,0.0
IN,India,Delhi,2020-02-20,0.0,2.0,8.0,4.0,4.0,0.0
IN,India,Delhi,2020-02-21,-7.0,-5.0,1.0,-8.0,-14.0,6.0
IN,India,Delhi,2020-02-22,0.0,-2.0,7.0,0.0,1.0,1.0
IN,India,Delhi,2020-02-23,0.0,1.0,5.0,3.0,4.0,0.0
IN,India,Delhi,2020-02-24,-1.0,-2.0,10.0,2.0,2.0,0.0
IN,India,Delhi,2020-02-25,-5.0,-7.0,6.0,-2.0,-3.0,2.0
IN,India,Delhi,2020-02-26,-8.0,-7.0,0.0,-7.0,-5.0,2.0
IN,India,Delhi,2020-02-27,-5.0,-6.0,2.0,-5.0,-1.0,1.0
IN,India,Delhi,2020-02-28,-4.0,-4.0,4.0,-4.0,0.0,1.0
IN,India,Delhi,2020-02-29,-13.0,-15.0,-12.0,-5.0,5.0,2.0
IN,India,Delhi,2020-03-01,-5.0,0.0,-4.0,-3.0,3.0,2.0
IN,India,Delhi,2020-03-02,-3.0,-1.0,4.0,-5.0,0.0,2.0
IN,India,Delhi,2020-03-03,-2.0,1.0,8.0,-2.0,4.0,0.0
IN,India,Delhi,2020-03-04,-5.0,0.0,1.0,-3.0,3.0,1.0
IN,India,Delhi,2020-03-05,-8.0,-5.0,-5.0,-4.0,3.0,1.0
IN,India,Delhi,2020-03-06,-15.0,-14.0,-18.0,-5.0,0.0,3.0
IN,India,Delhi,2020-03-07,-6.0,0.0,-5.0,1.0,6.0,1.0
IN,India,Delhi,2020-03-08,-6.0,2.0,-8.0,-7.0,7.0,1.0
IN,India,Delhi,2020-03-09,-2.0,4.0,-3.0,-20.0,-18.0,5.0
IN,India,Delhi,2020-03-10,-51.0,-56.0,-34.0,-60.0,-79.0,24.0
IN,India,Delhi,2020-03-11,-15.0,-9.0,-9.0,-15.0,-11.0,2.0
IN,India,Delhi,2020-03-12,-10.0,-7.0,-4.0,-10.0,-2.0,1.0
IN,India,Delhi,2020-03-13,-11.0,-5.0,-2.0,-12.0,-2.0,2.0
IN,India,Delhi,2020-03-14,-20.0,-15.0,-15.0,-17.0,-7.0,4.0
IN,India,Delhi,2020-03-15,-15.0,-6.0,-11.0,-15.0,1.0,3.0
IN,India,Delhi,2020-03-16,-10.0,-4.0,2.0,-13.0,-5.0,2.0
IN,India,Delhi,2020-03-17,-12.0,-2.0,0.0,-17.0,-8.0,3.0
IN,India,Delhi,2020-03-18,-15.0,-1.0,-3.0,-20.0,-10.0,4.0
IN,India,Delhi,2020-03-19,-17.0,0.0,-9.0,-24.0,-12.0,5.0
IN,India,Delhi,2020-03-20,-27.0,-9.0,-16.0,-31.0,-19.0,8.0
IN,India,Delhi,2020-03-21,-44.0,-24.0,-30.0,-40.0,-27.0,10.0
IN,India,Delhi,2020-03-22,-87.0,-83.0,-77.0,-81.0,-68.0,21.0
IN,India,Delhi,2020-03-23,-71.0,-52.0,-58.0,-74.0,-73.0,28.0
IN,India,Delhi,2020-03-24,-80.0,-66.0,-71.0,-82.0,-82.0,32.0
IN,India,Delhi,2020-03-25,-86.0,-76.0,-78.0,-87.0,-85.0,34.0
IN,India,Delhi,2020-03-26,-86.0,-76.0,-78.0,-87.0,-84.0,35.0
IN,India,Delhi,2020-03-27,-86.0,-77.0,-79.0,-87.0,-84.0,36.0
IN,India,Delhi,2020-03-28,-86.0,-77.0,-78.0,-85.0,-80.0,31.0
IN,India,Delhi,2020-03-29,-86.0,-77.0,-79.0,-84.0,-69.0,23.0
IN,India,Delhi,2020-03-30,-83.0,-73.0,-75.0,-86.0,-82.0,34.0
IN,India,Delhi,2020-03-31,-84.0,-74.0,-76.0,-86.0,-83.0,34.0
IN,India,Delhi,2020-04-01,-85.0,-76.0,-77.0,-87.0,-83.0,34.0
IN,India,Delhi,2020-04-02,-85.0,-76.0,-78.0,-88.0,-84.0,36.0
IN,India,Delhi,2020-04-03,-84.0,-73.0,-76.0,-87.0,-82.0,35.0
IN,India,Delhi,2020-04-04,-85.0,-75.0,-77.0,-86.0,-78.0,31.0
IN,India,Delhi,2020-04-05,-86.0,-77.0,-79.0,-86.0,-67.0,23.0
IN,India,Delhi,2020-04-06,-84.0,-73.0,-76.0,-87.0,-84.0,35.0
IN,India,Delhi,2020-04-07,-85.0,-68.0,-73.0,-84.0,-82.0,33.0
IN,India,Delhi,2020-04-08,-86.0,-67.0,-73.0,-84.0,-82.0,34.0
IN,India,Delhi,2020-04-09,-86.0,-67.0,-75.0,-85.0,-83.0,35.0
IN,India,Delhi,2020-04-10,-87.0,-69.0,-76.0,-86.0,-85.0,37.0
IN,India,Delhi,2020-04-11,-88.0,-72.0,-77.0,-85.0,-80.0,32.0
IN,India,Delhi,2020-04-12,-89.0,-74.0,-79.0,-84.0,-69.0,24.0
IN,India,Delhi,2020-04-13,-86.0,-69.0,-76.0,-85.0,-82.0,35.0
IN,India,Delhi,2020-04-14,-87.0,-71.0,-75.0,-85.0,-84.0,34.0
IN,India,Delhi,2020-04-15,-87.0,-68.0,-76.0,-84.0,-81.0,34.0
IN,India,Delhi,2020-04-16,-89.0,-66.0,-98.0,-83.0,-82.0,35.0
IN,India,Delhi,2020-04-17,-90.0,-66.0,-98.0,-83.0,-81.0,36.0
IN,India,Delhi,2020-04-18,-91.0,-71.0,-98.0,-83.0,-78.0,32.0
IN,India,Delhi,2020-04-19,-91.0,-71.0,-98.0,-82.0,-69.0,24.0
IN,India,Delhi,2020-04-20,-90.0,-66.0,-98.0,-83.0,-81.0,35.0
IN,India,Delhi,2020-04-21,-90.0,-68.0,-98.0,-84.0,-82.0,35.0
IN,India,Delhi,2020-04-22,-90.0,-67.0,-98.0,-84.0,-82.0,35.0
IN,India,Delhi,2020-04-23,-90.0,-67.0,-98.0,-84.0,-82.0,36.0
IN,India,Delhi,2020-04-24,-90.0,-66.0,-98.0,-84.0,-81.0,37.0
IN,India,Delhi,2020-04-25,-91.0,-69.0,-98.0,-83.0,-79.0,33.0
IN,India,Delhi,2020-04-26,-91.0,-70.0,-98.0,-82.0,-68.0,25.0
IN,India,Delhi,2020-04-27,-89.0,-65.0,-98.0,-83.0,-80.0,35.0
IN,India,Delhi,2020-04-28,-90.0,-66.0,-98.0,-83.0,-81.0,34.0
IN,India,Delhi,2020-04-29,-89.0,-65.0,-98.0,-82.0,-81.0,35.0
IN,India,Delhi,2020-04-30,-89.0,-66.0,-96.0,-82.0,-81.0,35.0
IN,India,Delhi,2020-05-01,-89.0,-64.0,-96.0,-82.0,-81.0,36.0
IN,India,Delhi,2020-05-02,-89.0,-66.0,-96.0,-81.0,-77.0,32.0
IN,India,Delhi,2020-05-03,-90.0,-68.0,-97.0,-80.0,-67.0,24.0
IN,India,Delhi,2020-05-04,-84.0,-54.0,-95.0,-77.0,-75.0,32.0
IN,India,Delhi,2020-05-05,-85.0,-55.0,-95.0,-77.0,-75.0,32.0
IN,India,Delhi,2020-05-06,-84.0,-52.0,-95.0,-76.0,-73.0,32.0
IN,India,Delhi,2020-05-07,-85.0,-57.0,-95.0,-78.0,-77.0,33.0
IN,India,Delhi,2020-05-08,-83.0,-52.0,-95.0,-76.0,-72.0,32.0
IN,India,Delhi,2020-05-09,-85.0,-57.0,-95.0,-75.0,-70.0,29.0
IN,India,Delhi,2020-05-10,-85.0,-58.0,-96.0,-74.0,-59.0,22.0
IN,India,Delhi,2020-05-11,-82.0,-51.0,-95.0,-75.0,-70.0,31.0
IN,India,Delhi,2020-05-12,-83.0,-53.0,-95.0,-75.0,-71.0,31.0
IN,India,Delhi,2020-05-13,-82.0,-50.0,-94.0,-73.0,-70.0,30.0
IN,India,Delhi,2020-05-14,-82.0,-54.0,-94.0,-74.0,-70.0,30.0
IN,India,Delhi,2020-05-15,-81.0,-48.0,-94.0,-73.0,-68.0,30.0
IN,India,Delhi,2020-05-16,-82.0,-52.0,-94.0,-72.0,-64.0,27.0
IN,India,Delhi,2020-05-17,-83.0,-55.0,-95.0,-71.0,-54.0,21.0
IN,India,Delhi,2020-05-18,-79.0,-46.0,-93.0,-71.0,-63.0,28.0
IN,India,Delhi,2020-05-19,-76.0,-41.0,-92.0,-67.0,-60.0,27.0
IN,India,Delhi,2020-05-20,-74.0,-36.0,-91.0,-65.0,-59.0,26.0
IN,India,Delhi,2020-05-21,-73.0,-37.0,-92.0,-65.0,-58.0,26.0
IN,India,Delhi,2020-05-22,-74.0,-37.0,-91.0,-65.0,-57.0,26.0
IN,India,Delhi,2020-05-23,-75.0,-40.0,-92.0,-65.0,-52.0,24.0
IN,India,Delhi,2020-05-24,-76.0,-41.0,-93.0,-64.0,-43.0,18.0
IN,India,Delhi,2020-05-25,-75.0,-41.0,-92.0,-69.0,-66.0,28.0
IN,India,Delhi,2020-05-26,-73.0,-37.0,-91.0,-63.0,-55.0,24.0
IN,India,Delhi,2020-05-27,-73.0,-35.0,-91.0,-63.0,-55.0,24.0
IN,India,Delhi,2020-05-28,-73.0,-37.0,-91.0,-63.0,-55.0,25.0
IN,India,Delhi,2020-05-29,-73.0,-37.0,-91.0,-64.0,-54.0,26.0
IN,India,Delhi,2020-05-30,-74.0,-37.0,-91.0,-62.0,-46.0,22.0
IN,India,Delhi,2020-05-31,-76.0,-42.0,-93.0,-63.0,-36.0,18.0
IN,India,Delhi,2020-06-01,-68.0,-27.0,-90.0,-59.0,-49.0,22.0
IN,India,Delhi,2020-06-02,-69.0,-28.0,-90.0,-59.0,-50.0,22.0
IN,India,Delhi,2020-06-03,-69.0,-27.0,-90.0,-58.0,-49.0,22.0
IN,India,Delhi,2020-06-04,-69.0,-30.0,-90.0,-59.0,-50.0,23.0
IN,India,Delhi,2020-06-05,-67.0,-28.0,-88.0,-59.0,-49.0,23.0
IN,India,Delhi,2020-06-06,-69.0,-32.0,-89.0,-58.0,-42.0,20.0
IN,India,Delhi,2020-06-07,-70.0,-35.0,-90.0,-58.0,-33.0,16.0
IN,India,Delhi,2020-06-08,-65.0,-27.0,-87.0,-58.0,-47.0,21.0
IN,India,Delhi,2020-06-09,-66.0,-29.0,-88.0,-58.0,-48.0,21.0
IN,India,Delhi,2020-06-10,-65.0,-27.0,-88.0,-57.0,-49.0,21.0
IN,India,Delhi,2020-06-11,-62.0,-26.0,-87.0,-58.0,-49.0,22.0
IN,India,Delhi,2020-06-12,-62.0,-24.0,-86.0,-58.0,-48.0,22.0
IN,India,Delhi,2020-06-13,-65.0,-31.0,-87.0,-57.0,-44.0,20.0
IN,India,Delhi,2020-06-14,-67.0,-34.0,-89.0,-57.0,-31.0,15.0
IN,India,Delhi,2020-06-15,-63.0,-28.0,-86.0,-59.0,-49.0,21.0
IN,India,Delhi,2020-06-16,-64.0,-29.0,-87.0,-59.0,-50.0,21.0
IN,India,Delhi,2020-06-17,-64.0,-28.0,-87.0,-59.0,-50.0,21.0
IN,India,Delhi,2020-06-18,-64.0,-31.0,-87.0,-60.0,-50.0,21.0
IN,India,Delhi,2020-06-19,-64.0,-29.0,-86.0,-60.0,-49.0,22.0
IN,India,Delhi,2020-06-20,-65.0,-32.0,-87.0,-57.0,-41.0,18.0
IN,India,Delhi,2020-06-21,-71.0,-44.0,-90.0,-62.0,-35.0,17.0
IN,India,Delhi,2020-06-22,-61.0,-27.0,-86.0,-58.0,-49.0,20.0
IN,India,Delhi,2020-06-23,-62.0,-27.0,-85.0,-57.0,-50.0,20.0
IN,India,Delhi,2020-06-24,-62.0,-27.0,-85.0,-57.0,-48.0,20.0
IN,India,Delhi,2020-06-25,-62.0,-29.0,-86.0,-58.0,-48.0,20.0
IN,India,Delhi,2020-06-26,-62.0,-27.0,-85.0,-58.0,-47.0,20.0
IN,India,Delhi,2020-06-27,-65.0,-33.0,-87.0,-57.0,-42.0,18.0
IN,India,Delhi,2020-06-28,-66.0,-35.0,-88.0,-57.0,-27.0,13.0
IN,India,Delhi,2020-06-29,-62.0,-29.0,-85.0,-59.0,-47.0,19.0
IN,India,Delhi,2020-06-30,-61.0,-28.0,-83.0,-58.0,-48.0,19.0
IN,India,Delhi,2020-07-01,-60.0,-26.0,-84.0,-57.0,-47.0,18.0
IN,India,Delhi,2020-07-02,-61.0,-28.0,-84.0,-58.0,-47.0,20.0
IN,India,Delhi,2020-07-03,-60.0,-26.0,-84.0,-57.0,-46.0,20.0
IN,India,Delhi,2020-07-04,-61.0,-28.0,-85.0,-55.0,-38.0,17.0
IN,India,Delhi,2020-07-05,-62.0,-30.0,-86.0,-55.0,-28.0,13.0
IN,India,Delhi,2020-07-06,-59.0,-26.0,-82.0,-56.0,-46.0,18.0
IN,India,Delhi,2020-07-07,-58.0,-24.0,-82.0,-55.0,-47.0,18.0
IN,India,Delhi,2020-07-08,-59.0,-25.0,-83.0,-56.0,-45.0,18.0
IN,India,Delhi,2020-07-09,-58.0,-26.0,-83.0,-56.0,-45.0,19.0
IN,India,Delhi,2020-07-10,-58.0,-24.0,-83.0,-56.0,-44.0,18.0
IN,India,Delhi,2020-07-11,-60.0,-29.0,-84.0,-56.0,-41.0,18.0
IN,India,Delhi,2020-07-12,-60.0,-28.0,-85.0,-54.0,-27.0,13.0
IN,India,Delhi,2020-07-13,-57.0,-24.0,-82.0,-56.0,-44.0,18.0
IN,India,Delhi,2020-07-14,-57.0,-24.0,-81.0,-55.0,-45.0,17.0
IN,India,Delhi,2020-07-15,-56.0,-22.0,-80.0,-54.0,-44.0,17.0
IN,India,Delhi,2020-07-16,-56.0,-24.0,-81.0,-54.0,-44.0,18.0
IN,India,Delhi,2020-07-17,-56.0,-23.0,-80.0,-54.0,-43.0,18.0
IN,India,Delhi,2020-07-18,-56.0,-25.0,-81.0,-52.0,-36.0,16.0
IN,India,Delhi,2020-07-19,-59.0,-29.0,-84.0,-54.0,-28.0,13.0
IN,India,Delhi,2020-07-20,-54.0,-20.0,-78.0,-53.0,-43.0,16.0
IN,India,Delhi,2020-07-21,-56.0,-24.0,-80.0,-54.0,-45.0,17.0
IN,India,Delhi,2020-07-22,-56.0,-25.0,-80.0,-54.0,-45.0,18.0
IN,India,Delhi,2020-07-23,-53.0,-20.0,-80.0,-52.0,-43.0,17.0
IN,India,Delhi,2020-07-24,-55.0,-20.0,-80.0,-52.0,-42.0,17.0
IN,India,Delhi,2020-07-25,-55.0,-22.0,-80.0,-51.0,-37.0,16.0
IN,India,Delhi,2020-07-26,-55.0,-23.0,-82.0,-50.0,-25.0,12.0
IN,India,Delhi,2020-07-27,-53.0,-19.0,-78.0,-52.0,-43.0,16.0
IN,India,Delhi,2020-07-28,-53.0,-18.0,-78.0,-51.0,-43.0,16.0
IN,India,Delhi,2020-07-29,-53.0,-19.0,-79.0,-51.0,-43.0,16.0
IN,India,Delhi,2020-07-30,-50.0,-15.0,-76.0,-50.0,-43.0,16.0
IN,India,Delhi,2020-07-31,-49.0,-12.0,-76.0,-49.0,-42.0,15.0
IN,India,Delhi,2020-08-01,-54.0,-20.0,-78.0,-52.0,-44.0,16.0
IN,India,Delhi,2020-08-02,-45.0,-7.0,-79.0,-45.0,-25.0,9.0
IN,India,Delhi,2020-08-03,-53.0,-25.0,-77.0,-54.0,-66.0,15.0
IN,India,Delhi,2020-08-04,-53.0,-22.0,-75.0,-52.0,-44.0,14.0
IN,India,Delhi,2020-08-05,-51.0,-22.0,-76.0,-52.0,-43.0,14.0
IN,India,Delhi,2020-08-06,-50.0,-21.0,-76.0,-52.0,-42.0,15.0
IN,India,Delhi,2020-08-07,-49.0,-19.0,-75.0,-51.0,-41.0,15.0
IN,India,Delhi,2020-08-08,-50.0,-22.0,-75.0,-50.0,-37.0,14.0
IN,India,Delhi,2020-08-09,-50.0,-23.0,-79.0,-48.0,-26.0,10.0
IN,India,Delhi,2020-08-10,-47.0,-17.0,-73.0,-48.0,-42.0,14.0
IN,India,Delhi,2020-08-11,-47.0,-16.0,-72.0,-49.0,-44.0,14.0
IN,India,Delhi,2020-08-12,-50.0,-21.0,-75.0,-55.0,-54.0,18.0
IN,India,Delhi,2020-08-13,-52.0,-30.0,-78.0,-55.0,-48.0,18.0
IN,India,Delhi,2020-08-14,-41.0,-10.0,-73.0,-46.0,-41.0,13.0
IN,India,Delhi,2020-08-15,-65.0,-46.0,-78.0,-63.0,-71.0,22.0
IN,India,Delhi,2020-08-16,-47.0,-20.0,-77.0,-46.0,-24.0,9.0
IN,India,Delhi,2020-08-17,-47.0,-20.0,-72.0,-46.0,-41.0,13.0
IN,India,Delhi,2020-08-18,-46.0,-16.0,-71.0,-46.0,-41.0,13.0
IN,India,Delhi,2020-08-19,-53.0,-29.0,-77.0,-52.0,-46.0,17.0
IN,India,Delhi,2020-08-20,-48.0,-21.0,-77.0,-49.0,-43.0,16.0
IN,India,Delhi,2020-08-21,-44.0,-14.0,-71.0,-45.0,-40.0,13.0
IN,India,Delhi,2020-08-22,-45.0,-18.0,-71.0,-45.0,-35.0,12.0
IN,India,Delhi,2020-08-23,-45.0,-19.0,-73.0,-43.0,-25.0,9.0
IN,India,Delhi,2020-08-24,-44.0,-17.0,-69.0,-46.0,-40.0,13.0
IN,India,Delhi,2020-08-25,-45.0,-16.0,-68.0,-45.0,-41.0,13.0
IN,India,Delhi,2020-08-26,-45.0,-17.0,-70.0,-45.0,-40.0,12.0
IN,India,Delhi,2020-08-27,-45.0,-18.0,-70.0,-46.0,-40.0,13.0
IN,India,Delhi,2020-08-28,-48.0,-21.0,-71.0,-47.0,-40.0,14.0
IN,India,Delhi,2020-08-29,-45.0,-17.0,-70.0,-43.0,-32.0,11.0
IN,India,Delhi,2020-08-30,-47.0,-19.0,-72.0,-43.0,-25.0,8.0
IN,India,Delhi,2020-08-31,-42.0,-14.0,-67.0,-44.0,-40.0,12.0
IN,India,Delhi,2020-09-01,-43.0,-14.0,-67.0,-44.0,-41.0,12.0
IN,India,Delhi,2020-09-02,-45.0,-17.0,-68.0,-45.0,-40.0,12.0
IN,India,Delhi,2020-09-03,-45.0,-19.0,-67.0,-47.0,-40.0,13.0
IN,India,Delhi,2020-09-04,-45.0,-17.0,-67.0,-46.0,-39.0,13.0
IN,India,Delhi,2020-09-05,-49.0,-26.0,-70.0,-44.0,-32.0,11.0
IN,India,Delhi,2020-09-06,-45.0,-17.0,-69.0,-40.0,-26.0,9.0
IN,India,Delhi,2020-09-07,-44.0,-17.0,-65.0,-43.0,-41.0,12.0
IN,India,Delhi,2020-09-08,-43.0,-15.0,-64.0,-43.0,-41.0,12.0
IN,India,Delhi,2020-09-09,-45.0,-16.0,-66.0,-43.0,-40.0,12.0
IN,India,Delhi,2020-09-10,-44.0,-17.0,-66.0,-43.0,-40.0,13.0
IN,India,Delhi,2020-09-11,-42.0,-16.0,-65.0,-43.0,-39.0,13.0
IN,India,Delhi,2020-09-12,-44.0,-20.0,-66.0,-42.0,-35.0,12.0
IN,India,Delhi,2020-09-13,-44.0,-21.0,-68.0,-39.0,-25.0,8.0
IN,India,Delhi,2020-09-14,-41.0,-18.0,-64.0,-42.0,-38.0,13.0
IN,India,Delhi,2020-09-15,-41.0,-17.0,-63.0,-41.0,-38.0,13.0
IN,India,Delhi,2020-09-16,-42.0,-17.0,-64.0,-41.0,-38.0,13.0
IN,India,Delhi,2020-09-17,-41.0,-20.0,-65.0,-44.0,-39.0,14.0
IN,India,Delhi,2020-09-18,-40.0,-16.0,-65.0,-41.0,-37.0,14.0
IN,India,Delhi,2020-09-19,-42.0,-20.0,-66.0,-38.0,-29.0,11.0
IN,India,Delhi,2020-09-20,-42.0,-19.0,-67.0,-37.0,-21.0,9.0
IN,India,Delhi,2020-09-21,-39.0,-17.0,-63.0,-40.0,-39.0,13.0
IN,India,Delhi,2020-09-22,-41.0,-18.0,-63.0,-38.0,-39.0,13.0
IN,India,Delhi,2020-09-23,-42.0,-16.0,-65.0,-37.0,-37.0,13.0
IN,India,Delhi,2020-09-24,-43.0,-18.0,-66.0,-39.0,-37.0,14.0
IN,India,Delhi,2020-09-25,-42.0,-15.0,-65.0,-38.0,-36.0,14.0
IN,India,Delhi,2020-09-26,-43.0,-17.0,-65.0,-35.0,-29.0,12.0
IN,India,Delhi,2020-09-27,-43.0,-18.0,-67.0,-32.0,-21.0,9.0
IN,India,Delhi,2020-09-28,-42.0,-16.0,-63.0,-36.0,-37.0,13.0
IN,India,Delhi,2020-09-29,-42.0,-15.0,-62.0,-36.0,-37.0,13.0
IN,India,Delhi,2020-09-30,-42.0,-12.0,-62.0,-34.0,-36.0,12.0
IN,India,Delhi,2020-10-01,-41.0,-10.0,-60.0,-33.0,-35.0,11.0
IN,India,Delhi,2020-10-02,-49.0,-19.0,-60.0,-48.0,-71.0,22.0
IN,India,Delhi,2020-10-03,-42.0,-12.0,-59.0,-29.0,-27.0,9.0
IN,India,Delhi,2020-10-04,-42.0,-13.0,-61.0,-26.0,-19.0,6.0
IN,India,Delhi,2020-10-05,-40.0,-10.0,-56.0,-31.0,-36.0,11.0
IN,India,Delhi,2020-10-06,-40.0,-10.0,-55.0,-31.0,-36.0,11.0
IN,India,Delhi,2020-10-07,-40.0,-10.0,-58.0,-31.0,-35.0,11.0
IN,India,Delhi,2020-10-08,-39.0,-12.0,-60.0,-33.0,-34.0,12.0
IN,India,Delhi,2020-10-09,-38.0,-9.0,-60.0,-33.0,-33.0,12.0
IN,India,Delhi,2020-10-10,-40.0,-13.0,-60.0,-30.0,-28.0,10.0
IN,India,Delhi,2020-10-11,-39.0,-12.0,-62.0,-26.0,-17.0,7.0
IN,India,Delhi,2020-10-12,-38.0,-11.0,-58.0,-31.0,-34.0,11.0
IN,India,Delhi,2020-10-13,-37.0,-10.0,-57.0,-30.0,-35.0,11.0
IN,India,Delhi,2020-10-14,-36.0,-7.0,-58.0,-29.0,-33.0,11.0
IN,India,Delhi,2020-10-15,-35.0,-7.0,-59.0,-28.0,-33.0,12.0
IN,India,Delhi,2020-10-16,-32.0,3.0,-58.0,-27.0,-32.0,12.0
IN,India,Delhi,2020-10-17,-43.0,-12.0,-63.0,-30.0,-24.0,11.0
IN,India,Delhi,2020-10-18,-39.0,-11.0,-62.0,-25.0,-16.0,8.0
IN,India,Delhi,2020-10-19,-39.0,-10.0,-59.0,-30.0,-33.0,12.0
IN,India,Delhi,2020-10-20,-37.0,-8.0,-58.0,-29.0,-34.0,11.0
IN,India,Delhi,2020-10-21,-38.0,-9.0,-58.0,-30.0,-33.0,11.0
IN,India,Delhi,2020-10-22,-35.0,-7.0,-57.0,-31.0,-33.0,11.0
IN,India,Delhi,2020-10-23,-36.0,-3.0,-58.0,-32.0,-33.0,12.0
IN,India,Delhi,2020-10-24,-37.0,-10.0,-60.0,-31.0,-28.0,10.0
IN,India,Delhi,2020-10-25,-36.0,-9.0,-59.0,-26.0,-21.0,7.0
IN,India,Delhi,2020-10-26,-32.0,-4.0,-56.0,-30.0,-34.0,10.0
IN,India,Delhi,2020-10-27,-33.0,-5.0,-55.0,-29.0,-33.0,10.0
IN,India,Delhi,2020-10-28,-34.0,-6.0,-56.0,-29.0,-32.0,10.0
IN,India,Delhi,2020-10-29,-34.0,-9.0,-57.0,-31.0,-32.0,10.0
IN,India,Delhi,2020-10-30,-36.0,-6.0,-58.0,-36.0,-40.0,13.0
IN,India,Delhi,2020-10-31,-38.0,-11.0,-59.0,-30.0,-24.0,9.0
IN,India,Delhi,2020-11-01,-33.0,-6.0,-59.0,-23.0,-13.0,6.0
IN,India,Delhi,2020-11-02,-32.0,-3.0,-56.0,-29.0,-32.0,10.0
IN,India,Delhi,2020-11-03,-27.0,3.0,-53.0,-28.0,-32.0,10.0
IN,India,Delhi,2020-11-04,-36.0,-11.0,-59.0,-36.0,-35.0,13.0
IN,India,Delhi,2020-11-05,-35.0,-10.0,-57.0,-32.0,-32.0,12.0
IN,India,Delhi,2020-11-06,-35.0,-5.0,-56.0,-31.0,-31.0,11.0
IN,India,Delhi,2020-11-07,-34.0,-6.0,-57.0,-26.0,-20.0,9.0
IN,India,Delhi,2020-11-08,-34.0,-5.0,-58.0,-21.0,-12.0,7.0
IN,India,Delhi,2020-11-09,-33.0,-4.0,-55.0,-30.0,-31.0,10.0
IN,India,Delhi,2020-11-10,-30.0,-2.0,-54.0,-28.0,-32.0,10.0
IN,India,Delhi,2020-11-11,-29.0,4.0,-55.0,-26.0,-31.0,10.0
IN,India,Delhi,2020-11-12,-23.0,12.0,-55.0,-25.0,-31.0,10.0
IN,India,Delhi,2020-11-13,-21.0,19.0,-55.0,-26.0,-34.0,11.0
IN,India,Delhi,2020-11-14,-44.0,-12.0,-65.0,-45.0,-53.0,19.0
IN,India,Delhi,2020-11-15,-47.0,-26.0,-67.0,-40.0,-36.0,11.0
IN,India,Delhi,2020-11-16,-35.0,-11.0,-58.0,-37.0,-56.0,12.0
IN,India,Delhi,2020-11-17,-37.0,-12.0,-57.0,-32.0,-37.0,9.0
IN,India,Delhi,2020-11-18,-37.0,-10.0,-58.0,-31.0,-34.0,10.0
IN,India,Delhi,2020-11-19,-37.0,-11.0,-58.0,-33.0,-34.0,11.0
IN,India,Delhi,2020-11-20,-38.0,-10.0,-59.0,-36.0,-38.0,13.0
IN,India,Delhi,2020-11-21,-40.0,-15.0,-60.0,-31.0,-25.0,9.0
IN,India,Delhi,2020-11-22,-38.0,-13.0,-59.0,-25.0,-16.0,6.0
IN,India,Delhi,2020-11-23,-38.0,-13.0,-57.0,-34.0,-35.0,10.0
IN,India,Delhi,2020-11-24,-39.0,-12.0,-57.0,-33.0,-36.0,10.0
IN,India,Delhi,2020-11-25,-38.0,-13.0,-58.0,-33.0,-36.0,10.0
IN,India,Delhi,2020-11-26,-38.0,-14.0,-58.0,-34.0,-36.0,10.0
IN,India,Delhi,2020-11-27,-37.0,-12.0,-58.0,-34.0,-35.0,11.0
IN,India,Delhi,2020-11-28,-40.0,-16.0,-59.0,-32.0,-26.0,9.0
IN,India,Delhi,2020-11-29,-39.0,-15.0,-60.0,-28.0,-15.0,6.0
IN,India,Delhi,2020-11-30,-38.0,-14.0,-56.0,-39.0,-48.0,13.0
IN,India,Delhi,2020-12-01,-37.0,-12.0,-54.0,-32.0,-35.0,9.0
IN,India,Delhi,2020-12-02,-38.0,-12.0,-43.0,-33.0,-33.0,10.0
IN,India,Delhi,2020-12-03,-37.0,-14.0,-44.0,-34.0,-32.0,11.0
IN,India,Delhi,2020-12-04,-37.0,-12.0,-44.0,-34.0,-31.0,11.0
IN,India,Delhi,2020-12-05,-38.0,-15.0,-45.0,-30.0,-22.0,8.0
IN,India,Delhi,2020-12-06,-37.0,-15.0,-43.0,-26.0,-15.0,5.0
IN,India,Delhi,2020-12-07,-36.0,-13.0,-40.0,-31.0,-35.0,8.0
IN,India,Delhi,2020-12-08,-42.0,-22.0,-45.0,-42.0,-38.0,12.0
IN,India,Delhi,2020-12-09,-38.0,-14.0,-44.0,-29.0,-33.0,8.0
IN,India,Delhi,2020-12-10,-36.0,-14.0,-46.0,-29.0,-34.0,9.0
IN,India,Delhi,2020-12-11,-37.0,-13.0,-47.0,-29.0,-33.0,10.0
IN,India,Delhi,2020-12-12,-40.0,-18.0,-52.0,-30.0,-26.0,9.0
IN,India,Delhi,2020-12-13,-38.0,-15.0,-48.0,-22.0,-14.0,6.0
